Keyword,LinkedIn,Indeed,Monster,SimplyHired,AngelList
Python,"10,534","7,067","5,353","5,564",962
SQL,"7,359","5,504","8,970","4,475",559
R,"6,454","4,617","3,421","3,709",332
Java ,"4,458","3,366","4,359","2,549",527
Hadoop,"4,388","2,982","2,858","2,240",194
Spark,"3,686","2,978","2,453","2,262",259
Excel,"2,727","2,287","1,674","1,862",627
Tableau,"2,636","2,183","1,826","1,732",76
AWS,"2,621","2,346","1,682","1,793",571
SAS,"2,589","1,744","1,153","1,417",37
Scala,"1,980","1,506","1,206","1,175",182
C++,"1,977","1,567","1,094","1,160",459
Hive,"1,859","1,534",40,"1,161",91
Javascript,"1,564","1,192","1,436",992,635
NoSQL,"1,417","1,103","1,562",942,221
Azure,"1,332","1,205",752,800,90
TensorFlow,"1,130",926,643,686,149
C,,,,,
PowerPoint,"1,061",832,706,712,16
Matlab,986,828,625,691,68
Docker,951,792,583,603,228
Git,931,813,814,669,232
C# ,839,645,610,497,459
MySQL,780,659,501,524,226
Ruby,736,535,302,411,262
Microsoft Office,711,550,661,427,37
SPSS,660,470,416,428,18
MongoDB,653,584,401,423,159
Pig,639,508,477,422,17
Pandas,630,525,333,450,86
Hbase,629,500,495,419,33
Cassandra,610,490,461,408,90
Numpy,585,433,311,365,88
Perl,521,473,386,332,86
Power BI,494,400,275,347,16
Node,476,360,95,317,110
PostgreSQL,438,376,470,324,194
D3,436,176,173,141,69
Keras,403,302,211,245,50
PHP,382,320,133,212,113
Redis,274,194,131,158,136
Alteryx,270,262,201,170,0
Jupyter,270,198,139,173,22
Stata,256,172,124,155,14
Caffe,243,185,155,149,35
PyTorch,241,178,161,165,32
